Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
Fully Serviced 3-bedroom Apartment With Study & Maid's Room,Old Ikoyi,40000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3303163-fully-serviced-3-bedroom-apartment-with-study-maids-room
Luxury 3 Bedroom Apartment,Ikoyi,35000000,3,4,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3309363-luxury-3-bedroom-apartment
Luxury 3 Bedroom Apartment 4th Floor,Banana Island,45000000,3,4,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3309311-luxury-3-bedroom-apartment-4th-floor
Well Maintained Luxury 4 Bedroom Apartment,Banana Island,55000000,4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2977543-well-maintained-luxury-4-bedroom-apartment
Newly Built Three Bedroom Penthouse,Ikoyi,40000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3307486-newly-built-three-bedroom-penthouse
Brand New Fully Serviced 3 Bedroom Penthouse,Old Ikoyi,40000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3309264-brand-new-fully-serviced-3-bedroom-penthouse
Luxury Living Terrace Duplexes 4 Bedroom,Ikoyi,650000000,4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3289338-luxury-living-terrace-duplexes-4-bedroom
Premium 2 Bedroom Furnished And Serviced 2 Bedroom Apartment,Old Ikoyi,35000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3309136-premium-2-bedroom-furnished-and-serviced-2-bedroom-apartment
Luxury 3 Bedroom Penthouse Apartment,Ikoyi,40000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3309135-luxury-3-bedroom-penthouse-apartment
Fully Furnished And Serviced 2 Bedroom Apartment,Banana Island,30000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3308854-fully-furnished-and-serviced-2-bedroom-apartment
Luxury 4 Bedroom Flat,Ikoyi,50000000,4,4,3,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3220269-luxury-4-bedroom-flat
